kyc_analyst,AHT_analyst,cases_handled
0d035d377c9bf245ea9e100bc8e7adfd,23937.08,243
8514a883217c0ef20dfa3eb8214719c5,19909.68,41
e300ce13cd7c9f0a349271458d164cef,13474.32,153
b2cb12b35ec4065ff604bec73094ed81,714.11,4521
a64320e8fb555d5237908e87179d9bd6,316.65,3867
b162bd54b14f2dccc2e460e566c4b631,271.11,1051
04a22983d30b643f0e3998245f01fff8,254.43,5321
aea493953169ce9de9ee1128a2f3d23c,238.63,3976
8275caccc46ea12e014f7a9f3906c3dc,206.2,6692
2d955d1e472c9ae81aa3a06c3e9d55ea,205.59,1513
8f0cb9686e94b241540cd17b2334af5d,197.32,19
21fc3c1f7957dd5141f58d83f191d61c,191.75,1857
857dd02085a17d53978e2e5c64995e51,177.89,2455
bb5f2d0eebd715cfcfd8ef2f6f0da4a5,152.72,6370
9f8253fc5f6325f95ac12e8b0b63b360,142.15,1563
3b9dd81f14888bd7e82d3da78b273e97,138.66,9730
60590da387890d9ac9bb8f45f74ca4b0,137.6,6049
a8b94a8f1763524402eb0e117d6fea09,128.38,245
becafc5debcc361c59d0b454fc20e8aa,125.61,1124
c156efcfce91f4fca5cb3f176910d547,124.06,6711
7129df19dfbd947080943209499bd83f,121.07,7814
fbb19a172c351603d78f45e09098b5e7,116.32,1925
176b141d59d48b6b545181825fb324e0,112.08,6931
c2f523f89e726e73e49c50ec4574cd79,107.7,7984
5b807da3a342d79d6c5d6b9e3cee7141,107.27,3982
349caeeba4813b4bfd85254b29899fe1,104.77,386
62450a30ae8dbfbf7ebda9cb52dbbc2b,104.01,10245
c3c9e65ed4a52308070d552f6eb1f24a,103.95,40
192872765769091c9a8c3411ab8818be,101.32,6202
4e21aa2af284c26942ecebe12763f360,99.33,11006
81541436cec4498f8fc47ffb08245570,96.45,7745
29b44acc71bfe25b179291c64243382b,96.3,7091
3ca7327dbb8a82894b608578d04c6ebb,93.46,13
1f943219e2f3418ebd641477963f205e,75.9,13909
9c7aa6b5dc2b59bcd55f6e296fc9a305,74.03,6826
115c72ea2bb47e4481eb5a82a8aaad76,72.09,5356
ad1a6d3c50752ec1f41c9be55b733d15,70.05,8800
588749f5185529e3aa33b1e4b692ad58,59.93,6804
397c43f7700cd5110cf1fc7fad049008,57.54,11025
a0279e7df532e1548efd576b38768fed,54.51,14061
54adc4de3c914a85349a5c6ec3c84317,54.0,2946
0b99a44e90df316f14c1876e70d4134d,52.43,232
924c10a73a64b29c85f92f55eb2c9aea,51.54,85
4bb3edbae65e423bc3012bc38830f9a8,49.36,11851
0747479ee6ca0b81ad48822d236a5f6f,48.59,9272
6124d312c51c7d0efc2e71cc5962178b,46.13,7377
4bb87756a2b19c4cc2e48da5afc09a20,44.81,11837
e3a774b86af0382964ea2cfadc0fec34,36.62,2917
591186f599d60037d473edd26207dce1,36.59,13618
090a0f432cb319ce148b783c69d969d0,36.3,12358
3c0de7ef1f16fc34ae94d06abb0f762e,36.05,10696
17612947bd71aa38db12f2863aed01b5,35.21,13661
29cd3741732cc69b4eaa5b00cfedfe1e,32.43,15726